description,y_pred,y_conf,y_true
"X-ray of middle and lower spine, 2 views",Very-Low,0.99956065,Very-Low
"Evaluation of parameters of single, dual, or multiple lead cardioverter-defibrillator including connection, recording, disconnection, and analysis",Very-Low,0.86541724,Very-Low
"Established patient office or other outpatient visit, typically 5 minutes",Very-Low,0.9367948,Very-Low
Preparation and provision of 5 single stinging insect venom for allergen immunotherapy,Very-Low,0.9998117,Very-Low
Stereoscopic x-ray guidance for localization of target volume for the delivery of radiation therapy,Very-Low,0.92382264,Very-Low
Creatine kinase (cardiac enzyme) level,Very-Low,0.84883296,Very-Low
"Alcohol and/or substance (other than tobacco) abuse structured assessment (e.g., audit, dast), and brief intervention 15 to 30 minutes",Very-Low,0.9998524,Very-Low
Transferrin (iron binding protein) level,Very-Low,0.99979097,Very-Low
Bacterial blood culture,Very-Low,0.9993063,Very-Low
"Care management services for behavioral health conditions, at least 20 minutes of clinical staff time, directed by a physician or other qualified health care professional, per calendar month, with the following required elements: initial assessment or foll",Very-Low,0.9958735,Very-Low
Examination of cornea and iris using lens device and slit lamp,Very-Low,0.9549492,Very-Low
"X-ray of spine, 2 or 3 views",Very-Low,0.99983454,Very-Low
Special stain for microorganism,Very-Low,0.97572845,Very-Low
Measurement of field of vision during daylight conditions,Very-Low,0.9996761,Very-Low
"Chiropractic manipulative treatment, 5 spinal regions",Very-Low,0.9894488,Very-Low
Special stain for microorganism,Very-Low,0.97572845,Very-Low
Ambulatory continuous glucose (sugar) including interpretation and report for a minimum of 72 hours,Very-Low,0.99411374,Very-Low
Infrared analysis of stone,Low,0.76407975,Very-Low
"Blood test, lipids (cholesterol and triglycerides)",Very-Low,0.9992041,Very-Low
Molecular pathology procedure; physician interpretation and report,Very-Low,0.6755308,Very-Low
Testosterone (hormone) level,Very-Low,0.9867128,Very-Low
Zinc level,Very-Low,0.9514435,Very-Low
"Influenza virus vaccine, split virus, when administered to individuals 3 years of age and older, for intramuscular use (not otherwise specified)",Very-Low,0.93863904,Very-Low
Chemical treatment of acne,Low,0.9978896,Very-Low
"Imaging from nose to rectum, single view, child",Very-Low,0.9979844,Very-Low
"Face-to-face educational services related to the care of chronic kidney disease; group, per session, per one hour",Very-Low,0.9935548,Very-Low
Imaging for bone age assessment,Very-Low,0.8698473,Very-Low
Immunologic analysis technique on serum,Very-Low,0.99796474,Very-Low
Screening examination of specimen cells,Very-Low,0.9090385,Very-Low
"Ventilation assistance and management, nursing facility per day",Low,0.9994404,Very-Low
Ultrasound of head and neck,Very-Low,0.7518916,Very-Low
Ferritin (blood protein) level,Very-Low,0.9933889,Very-Low
Immunologic analysis technique on serum,Very-Low,0.99796474,Very-Low
Radiological supervision and interpretation of imaging of breast duct,Low,0.7826414,Very-Low
"Medical nutrition therapy performed in a group setting, each 30 minutes",Very-Low,0.99917406,Very-Low
"X-ray of elbow, 2 views",Very-Low,0.9992337,Very-Low
Detection test for HIV-1 and HIV-2,Very-Low,0.9977209,Very-Low
Screening test for pathogenic organisms,Very-Low,0.99959093,Very-Low
Primidone level,Very-Low,0.9514435,Very-Low
"X-ray of lower and sacral spine, minimum of 4 views",Very-Low,0.99741924,Very-Low
Creatine kinase (cardiac enzyme) level,Very-Low,0.84883296,Very-Low
Physician service required to establish and document the need for a power mobility device,Very-Low,0.9922178,Very-Low
Testosterone (hormone) level,Very-Low,0.9867128,Very-Low
"X-ray of both hips with pelvis, 3-4 views",Very-Low,0.9998264,Very-Low
"Heart rhythm tracing, computer analysis, and interpretation of patient-triggered events greater than 24-hour EKG up to 30 days",Very-Low,0.81460154,Very-Low
"X-ray of hand, minimum of 3 views",Very-Low,0.9957195,Very-Low
Bacterial culture for aerobic isolates,Very-Low,0.99938357,Very-Low
"Manual (physical) therapy techniques to 1 or more regions, each 15 minutes",Very-Low,0.8604269,Very-Low
Triglycerides level,Very-Low,0.99477226,Very-Low
Ultrasonic guidance for drainage of sac that covers the heart,Low,0.77302873,Very-Low
X-ray of voice box and/or esophagus,Very-Low,0.73000175,Very-Low
"X-ray of lower and sacral spine, 2 or 3 views",Very-Low,0.9997886,Very-Low
Physician services for outpatient heart rehabilitation with continuous EKG monitoring per session,Very-Low,0.9342958,Very-Low
"Pessary, rubber, any type",Very-Low,0.8397278,Very-Low
Fitting of contact lens for treatment of ocular surface disease,Low,0.9998691,Very-Low
"X-ray of ankle, 2 views",Very-Low,0.9993812,Very-Low
Evaluation of eye adaptation to light and dark (rods and cones),Very-Low,0.99019194,Very-Low
Routine electrocardiogram (EKG) with tracing using at least 12 leads,Very-Low,0.99923134,Very-Low
Ultrasound of fetal umbilical artery flow rate,Very-Low,0.69848037,Very-Low
Cardiac output measurements,Low,0.9547543,Very-Low
Flow cytometry technique for DNA or cell analysis,Low,0.6725738,Very-Low
Immunologic analysis for detection of tumor antigen,Very-Low,0.994808,Very-Low
Analysis for antibody Borrelia burgdorferi (Lyme disease bacteria),Very-Low,0.99584705,Very-Low
Clinical pathology consultation,Very-Low,0.8691854,Very-Low
Renin (kidney enzyme) level,Very-Low,0.8069559,Very-Low
Creatine kinase (cardiac enzyme) level,Very-Low,0.84883296,Very-Low
Coagulation assessment blood test,Very-Low,0.99433964,Very-Low
Stool analysis for blood,Very-Low,0.9973017,Very-Low
Removal of skin tags,Low,0.5501763,Very-Low
Cortisol (hormone) measurement,Very-Low,0.9818871,Very-Low
Liver function blood test panel,Very-Low,0.96538967,Very-Low
Preparation and provision of 2 single stinging insect venom for allergen immunotherapy,Very-Low,0.99975497,Very-Low
"Screening papanicolaou smear; obtaining, preparing and conveyance of cervical or vaginal smear to laboratory",Very-Low,0.99909616,Very-Low
Imaging of surgical specimen,Very-Low,0.7436015,Very-Low
Imaging of abdomen,Very-Low,0.85968083,Very-Low
Detection of middle ear fluid with assessment of eardrum and muscle function,Very-Low,0.91245097,Very-Low
Recording to evaluate height and duration of heart beats through damaged heart tissue,Very-Low,0.97777885,Very-Low
Imaging of liver and spleen,Very-Low,0.62735116,Very-Low
"Heart rhythm tracing, analysis, and interpretation of 48-hour EKG",Low,0.87575686,Very-Low
X-ray lower and sacral spine including bending views minimum 6 views,Very-Low,0.9998313,Very-Low
Ferritin (blood protein) level,Very-Low,0.9933889,Very-Low
Special stained specimen slides to examine tissue,Low,0.81847167,Very-Low
Coagulation assessment blood test,Very-Low,0.99433964,Very-Low
Ultrasound measurement of bladder capacity after voiding,Very-Low,0.99225485,Very-Low
Puncture aspiration of breast cyst,Low,0.9813369,Very-Low
X-ray of esophagus,Very-Low,0.7861297,Very-Low
Evaluation of specimen enzymes,Low,0.60494167,Very-Low
"Evaluation and programming adjustment of defibrillator with analysis, review and report",Very-Low,0.61916614,Very-Low
"Pathologist examination, dissection, and preparation of tissue",Very-Low,0.9989987,Very-Low
Digoxin level,Very-Low,0.9514435,Very-Low
Liver function blood test panel,Very-Low,0.96538967,Very-Low
Glycated protein level,Very-Low,0.99518716,Very-Low
Special stained specimen slides to identify organisms including interpretation and report,Very-Low,0.99134564,Very-Low
Counseling visit to discuss need for lung cancer screening using low dose ct scan (ldct) (service is for eligibility determination and shared decision making),Very-Low,0.9896288,Very-Low
Lipase (fat enzyme) level,Very-Low,0.7039611,Very-Low
Analysis using chemiluminescent technique (light and chemical )reaction,Very-Low,0.994649,Very-Low
"X-ray of foot, 2 views",Very-Low,0.99940753,Very-Low
"Thyroid hormone, T3 measurement",Very-Low,0.9990232,Very-Low
"X-ray of spine, 4 or 5 views",Very-Low,0.9997868,Very-Low
"Medical nutrition therapy, reassessment and subsequent intervention(s) following second referral in same year for change in diagnosis, medical condition, or treatment regimen (including additional hours needed for renal disease), group (2 or more individua",Very-Low,0.99592245,Very-Low
Thyroglobulin (thyroid related hormone) level,Very-Low,0.99938285,Very-Low
Detection test for Hepatitis B surface antigen,Very-Low,0.98671186,Very-Low
Puncture aspiration of breast cyst,Low,0.9813369,Very-Low
Testosterone (hormone) level,Very-Low,0.9867128,Very-Low
Assessment and recording of abnormal eye movement while tracking moving object,Very-Low,0.9954265,Very-Low
Bilirubin level,Very-Low,0.9514435,Very-Low
Prostate cancer screening; prostate specific antigen test (psa),Very-Low,0.9959611,Very-Low
Routine electrocardiogram (EKG) using at least 12 leads with interpretation and report,Very-Low,0.9993949,Very-Low
Chromosome analysis for genetic defects,Low,0.99847263,Very-Low
"X-ray of bones of face, minimum of 3 views",Very-Low,0.9995442,Very-Low
Screening examination of specimen cells,Very-Low,0.9090385,Very-Low
"X-ray of teeth, less than full mouth",Very-Low,0.99352807,Very-Low
Diagnostic testing in a pulmonary function lab,Very-Low,0.53728557,Very-Low
"X-ray of femur, 1 view",Very-Low,0.99982303,Very-Low
"Physician re-certification for medicare-covered home health services under a home health plan of care (patient not present), including contacts with home health agency and review of reports of patient status required by physicians to affirm the initial imp",Very-Low,0.98805887,Very-Low
Stool culture,Very-Low,0.9979487,Very-Low
"X-ray of upper spine, 6 or more views",Very-Low,0.9992811,Very-Low
X-ray of bones,Very-Low,0.972844,Very-Low
"Therapeutic activities to improve function, with one-on-one contact between patient and provider, each 15 minutes",Very-Low,0.9984043,Very-Low
"Strep test (Streptococcus, group A)",Very-Low,0.9977062,Very-Low
"Psychotherapy, 30 minutes with patient and/or family member",Low,0.99182785,Very-Low
Hemoglobin analysis and measurement,Very-Low,0.9989613,Very-Low
Diagnostic imaging of optic nerve of eye,Very-Low,0.8398346,Very-Low
Nuclear medicine study of tear drainage structure of eye,Very-Low,0.80269825,Very-Low
Screening test for antibody to noninfectious agent,Very-Low,0.95344585,Very-Low
Quantitation of therapeutic drug,Very-Low,0.78480965,Very-Low
Measurement of eye muscles to detect deviation of eyeball,Very-Low,0.90779984,Very-Low
Measurement of heart blood flow and respiration,Very-Low,0.93754816,Very-Low
Urea nitrogen level to assess kidney function,Very-Low,0.9973437,Very-Low
Collection and analysis of exhaled air and carbon dioxide for evaluation of lung function,Very-Low,0.99821484,Very-Low
Phenytoin level,Very-Low,0.9514435,Very-Low
X-ray of esophagus,Very-Low,0.7861297,Very-Low
"Annual depression screening, 15 minutes",Very-Low,0.9808287,Very-Low
"X-ray of chest, 2 views, front and side",Very-Low,0.9993777,Very-Low
Cardiac output measurements,Low,0.9547543,Very-Low
Therapeutic procedures in a group setting,Very-Low,0.99639446,Very-Low
3D radiographic procedure,Low,0.47474417,Very-Low
Timed assessment of bladder emptying,Very-Low,0.7444828,Very-Low
"Inpatient telehealth pharmacologic management, including prescription, use, and review of medication with no more than minimal medical psychotherapy",Low,0.8207381,Very-Low
"X-ray of upper spine, 4 or 5 views",Very-Low,0.99970144,Very-Low
"X-ray of wrist, minimum of 3 views",Very-Low,0.9973968,Very-Low
Imaging for evaluation of swallowing function,Very-Low,0.87070835,Very-Low
Telehealth originating site facility fee,Very-Low,0.88456607,Very-Low
Ambulatory blood pressure monitoring 24 hours or longer with interpretation and report,Very-Low,0.9869501,Very-Low
Screening test for antibody to noninfectious agent,Very-Low,0.95344585,Very-Low
Ultrasound scanning of blood flow (outside of brain) on one side of head and neck or limited,Very-Low,0.9430714,Very-Low
Levetiracetam level,Very-Low,0.9514435,Very-Low
"Ultrasound scan of blood flow of aorta, vena cava, bypass graphs, or one side of the groin or limited scan",Low,0.99389994,Very-Low
"X-ray of fingers, minimum of 2 views",Very-Low,0.9989335,Very-Low
"Screening cytopathology smears, cervical or vaginal, performed by automated system with manual rescreening",Very-Low,0.99991,Very-Low
Evaluation of specimen enzymes,Low,0.60494167,Very-Low
Immunologic analysis technique on body fluid,Very-Low,0.9942134,Very-Low
"Diabetes outpatient self-management training services, individual, per 30 minutes",Very-Low,0.981222,Very-Low
Immunologic analysis technique on body fluid,Very-Low,0.9942134,Very-Low
Hepatitis B surface antibody measurement,Very-Low,0.99782526,Very-Low
X-ray lower and sacral spine including bending views minimum 6 views,Very-Low,0.9998313,Very-Low
Measurement C-reactive protein for detection of infection or inflammation,Very-Low,0.9976701,Very-Low
Quantitation of therapeutic drug,Very-Low,0.78480965,Very-Low
Trimming of fingernails or toenails,Moderate-High,0.2753512,Very-Low
