rsd,y_pred,y_conf,y_true,provider_count,unique_beneficiary_provider
Photography of content of eyes ,0,0.9609568,0,11789,288069
Detection test for helicobacter pylori (GI tract bacteria) ,0,0.7851628,0,120,1904
"Injection, hydromorphone, up to 4 mg ",0,0.9077898,0,14,51
"Methylprednisolone oral, per 4 mg ",0,0.9832925,0,38,117
Pregnanediol (reproductive hormone) level,0,0.82744604,0,8,766
"Hepatitis b screening in non-pregnant, high risk individual includes hepatitis b surface antigen (hbsag) followed by a neutralizing confirmatory test for initially reactive results, and antibodies to hbsag (anti-hbs) and hepatitis b core antigen (anti-hbc)",0,0.61732894,0,4,207
"Self-adherent bandage, elastic, non-knitted/non-woven, width greater than or equal to three inches and less than five inches, per yard",0,0.98434883,0,119,255
"Injection, rimabotulinumtoxinb, 100 units",0,0.9693498,0,669,2762
Evaluation of hearing rehabilitation,1,0.56691355,0,17,61
"Established patient office or other outpatient visit, typically 5 minutes",1,0.39842212,0,143639,1736920
Ammonia level,1,0.60404485,0,1106,115539
"X-ray of teeth, single view",0,0.98816234,0,15,20
"Smoking and tobacco cessation counseling visit for the asymptomatic patient; intensive, greater than 10 minutes ",0,0.98311573,0,581,2207
"Injection, factor viii fc fusion protein (recombinant), per iu",0,0.8008575,0,70,159
Computer analysis of screening mammogram to assist detection of cancer,0,0.85790694,0,10892,3195959
"Blood test, basic group of blood chemicals",0,0.9957302,0,53,17180
"X-ray of middle and lower spine, 2 views",1,0.77923334,0,7400,18929
"Injection, olanzapine, long-acting, 1 mg",0,0.9847478,0,19,26
"X-ray of bones of face, minimum of 3 views",0,0.69771177,0,5633,8519
"Injection, omalizumab, 5 mg",0,0.9251773,0,3005,14136
Needle measurement and recording of movement and/or feeling of arm or leg with interpretation and report ,2,0.67826015,0,21,41
"Injection, pertuzumab, 1 mg",0,0.9156232,0,2677,5212
"Medical nutrition therapy, assessment and intervention, each 15 minutes ",0,0.9942053,0,2706,50056
"Medical nutrition therapy, assessment and intervention, each 15 minutes",0,0.99484515,0,320,2948
Therapeutic procedures in a group setting,0,0.92617726,0,7654,248565
Red blood cell hemoglobin concentration ,0,0.963388,0,796,13989
Osteopathic manipulative treatment to 1-2 body regions,0,0.8797477,0,5091,36166
Carbamazepine level ,1,0.6344579,0,13,473
"Application of ultrasound to 1 or more areas, each 15 minutes ",0,0.99216324,0,38191,503000
Methadone ,0,0.9455606,0,14,38
"Injection, factor ix (antihemophilic factor, recombinant) per iu, not otherwise specified",0,0.9004053,0,85,189
Prealbumin (protein) level,0,0.99553406,0,16,1987
Ethylene glycol (antifreeze) measurement ,1,0.8849439,0,37,3382
"Strep test (Streptococcus, group A)",0,0.95022017,0,43,66
"X-ray of chest, 2 views, front and side",1,0.85861546,0,1356,4252
Organic acid level,0,0.8431841,0,6,60
"Influenza virus vaccine, split virus, when administered to individuals 3 years of age and older, for intramuscular use (afluria)",0,0.99626416,0,58,335
Respiratory inhaled pressure or nonpressure treatment to relieve airway obstruction or for sputum specimen ,0,0.97591317,0,12,13
"Pessary, rubber, any type",0,0.894037,0,3258,7432
"Injection, paliperidone palmitate extended release, 1 mg",0,0.9415651,0,529,1433
Group psychotherapy,1,0.8980981,0,7642,58520
Coagulation assessment blood test,0,0.87091005,0,225,13086
"X-ray of elbow, minimum of 3 views",1,0.9309897,0,21348,215589
Phosphatase (enzyme) level,0,0.9727611,0,8,157
"Injection, doripenem, 10 mg",0,0.971133,0,7,22
