description,y_pred,y_conf,y_true
"X-ray of middle and lower spine, 2 views",Very-Low,0.99680674,Very-Low
"Evaluation of parameters of single, dual, or multiple lead cardioverter-defibrillator including connection, recording, disconnection, and analysis",Low,0.69032246,Very-Low
"Established patient office or other outpatient visit, typically 5 minutes",Very-Low,0.77771306,Very-Low
Preparation and provision of 5 single stinging insect venom for allergen immunotherapy,Very-Low,0.9951574,Very-Low
Stereoscopic x-ray guidance for localization of target volume for the delivery of radiation therapy,Very-Low,0.8809096,Very-Low
Creatine kinase (cardiac enzyme) level,Very-Low,0.98367476,Very-Low
"Alcohol and/or substance (other than tobacco) abuse structured assessment (e.g., audit, dast), and brief intervention 15 to 30 minutes",Very-Low,0.9089078,Very-Low
Transferrin (iron binding protein) level,Very-Low,0.9884471,Very-Low
Bacterial blood culture,Very-Low,0.99805754,Very-Low
"Care management services for behavioral health conditions, at least 20 minutes of clinical staff time, directed by a physician or other qualified health care professional, per calendar month, with the following required elements: initial assessment or foll",Low,0.9234158,Very-Low
Examination of cornea and iris using lens device and slit lamp,Very-Low,0.9386663,Very-Low
"X-ray of spine, 2 or 3 views",Very-Low,0.9999864,Very-Low
Special stain for microorganism,Very-Low,0.9603651,Very-Low
Measurement of field of vision during daylight conditions,Very-Low,0.98808706,Very-Low
"Chiropractic manipulative treatment, 5 spinal regions",Very-Low,0.9512481,Very-Low
Special stain for microorganism,Very-Low,0.9603651,Very-Low
Ambulatory continuous glucose (sugar) including interpretation and report for a minimum of 72 hours,Very-Low,0.9611325,Very-Low
Infrared analysis of stone,Low,0.6087122,Very-Low
"Blood test, lipids (cholesterol and triglycerides)",Very-Low,0.94272274,Very-Low
Molecular pathology procedure; physician interpretation and report,Very-Low,0.78187925,Very-Low
Testosterone (hormone) level,Very-Low,0.86735755,Very-Low
Zinc level,Very-Low,0.99917656,Very-Low
"Influenza virus vaccine, split virus, when administered to individuals 3 years of age and older, for intramuscular use (not otherwise specified)",Very-Low,0.9034211,Very-Low
Chemical treatment of acne,Low,0.98842734,Very-Low
"Imaging from nose to rectum, single view, child",Very-Low,0.9944939,Very-Low
"Face-to-face educational services related to the care of chronic kidney disease; group, per session, per one hour",Very-Low,0.7253853,Very-Low
Imaging for bone age assessment,Very-Low,0.9521156,Very-Low
Immunologic analysis technique on serum,Very-Low,0.96451414,Very-Low
Screening examination of specimen cells,Very-Low,0.92935085,Very-Low
"Ventilation assistance and management, nursing facility per day",Low,0.981533,Very-Low
Ultrasound of head and neck,Very-Low,0.9778722,Very-Low
Ferritin (blood protein) level,Very-Low,0.9988217,Very-Low
Immunologic analysis technique on serum,Very-Low,0.96451414,Very-Low
Radiological supervision and interpretation of imaging of breast duct,Very-Low,0.83363944,Very-Low
"Medical nutrition therapy performed in a group setting, each 30 minutes",Very-Low,0.9718488,Very-Low
"X-ray of elbow, 2 views",Very-Low,0.999995,Very-Low
Detection test for HIV-1 and HIV-2,Very-Low,0.9881684,Very-Low
Screening test for pathogenic organisms,Very-Low,0.98458016,Very-Low
Primidone level,Very-Low,0.9998915,Very-Low
"X-ray of lower and sacral spine, minimum of 4 views",Very-Low,0.9993837,Very-Low
Creatine kinase (cardiac enzyme) level,Very-Low,0.98367476,Very-Low
Physician service required to establish and document the need for a power mobility device,Very-Low,0.92478406,Very-Low
Testosterone (hormone) level,Very-Low,0.86735755,Very-Low
"X-ray of both hips with pelvis, 3-4 views",Very-Low,0.9994931,Very-Low
"Heart rhythm tracing, computer analysis, and interpretation of patient-triggered events greater than 24-hour EKG up to 30 days",Very-Low,0.84564006,Very-Low
"X-ray of hand, minimum of 3 views",Very-Low,0.99999416,Very-Low
Bacterial culture for aerobic isolates,Very-Low,0.7409878,Very-Low
"Manual (physical) therapy techniques to 1 or more regions, each 15 minutes",Very-Low,0.9738192,Very-Low
