HCPCS Code,HCPCS Description,HCPCS Drug Indicator,Place of Service,Number of Providers,Number of Services,Number of Unique Beneficiary/Provider Interactions,Number of Distinct Medicare Beneficiary/Per Day Services,Average Submitted Charge Amount,Average Medicare Allowed Amount,Average Medicare Payment Amount,Average Medicare Standardized Payment Amount
0008M,Onc breast risk score,N,O,17,280,277,279,7534.12,3443.36,3339.44,3343.16
00100,Anesthesia for procedure on salivary gland with biopsy,N,F,9181,11708,11688,11705,1787.95,236.96,183.62,184.45
00100,Anesthesia for procedure on salivary gland with biopsy,N,O,82,105,105,105,1206.34,163.36,128.84,130.41
00102,Anesthesia for procedure to repair lip defect present at birth,N,F,51,53,53,53,1551.18,211.12,164.50,166.70
00103,Anesthesia for procedure on eyelid,N,F,21334,121018,119302,120939,1039.57,151.65,116.82,117.62
00103,Anesthesia for procedure on eyelid,N,O,1097,4446,4411,4442,937.78,122.59,93.98,94.52
00104,Anesthesia for electric shock treatment,N,F,12706,181238,101229,181213,647.86,86.05,66.43,66.42
00104,Anesthesia for electric shock treatment,N,O,149,1889,1162,1889,688.13,77.63,59.60,60.98
00120,Anesthesia for biopsy of external middle and inner ear,N,F,13040,24096,23778,24085,1507.39,200.69,155.17,156.05
00120,Anesthesia for biopsy of external middle and inner ear,N,O,313,589,586,589,1425.20,176.89,137.57,137.97
00124,Anesthesia for examination and biopsy of external middle and inner ear using an endoscope,N,F,904,996,994,996,711.63,100.17,75.15,76.39
00124,Anesthesia for examination and biopsy of external middle and inner ear using an endoscope,N,O,25,27,27,27,1008.59,84.99,66.64,67.28
00126,Anesthesia for incision of ear drum,N,F,7428,11667,11589,11667,720.90,95.19,73.19,74.33
00126,Anesthesia for incision of ear drum,N,O,163,234,230,234,701.20,93.75,72.35,73.76
00140,Anesthesia for procedure on eye,N,F,24513,166799,157132,166724,971.52,140.17,108.56,108.59
00140,Anesthesia for procedure on eye,N,O,1155,5476,5359,5476,963.54,119.39,91.88,91.87
00142,Anesthesia for lens surgery,N,F,41999,2065042,1805219,2064783,699.18,103.37,79.88,80.54
00142,Anesthesia for lens surgery,N,O,2319,51223,47374,51223,648.77,88.33,68.18,68.39
00144,Anesthesia for procedure on eye for corneal transplant,N,F,7456,24670,24007,24646,1243.98,172.73,133.34,133.49
00144,Anesthesia for procedure on eye for corneal transplant,N,O,469,1283,1265,1281,1185.23,143.33,109.62,109.21
00145,Anesthesia for retinal surgery,N,F,19838,133329,130082,133311,1235.24,171.15,132.52,133.14
00145,Anesthesia for retinal surgery,N,O,774,3730,3674,3730,1189.18,145.44,112.25,112.61
00147,Anesthesia for procedure on eye for removal of iris,N,F,464,760,747,760,942.79,120.36,92.14,91.48
00148,Anesthesia for eye examination using an endoscope,N,F,391,477,467,477,704.47,97.05,71.49,72.09
00148,Anesthesia for eye examination using an endoscope,N,O,42,52,52,52,820.09,83.70,63.52,64.51
00160,Anesthesia for procedure on nose and sinus,N,F,31289,75461,75057,75411,1320.09,176.58,136.30,137.73
00160,Anesthesia for procedure on nose and sinus,N,O,869,2311,2291,2308,1369.26,163.50,125.83,127.92
00162,Anesthesia for surgery of nose and sinus,N,F,897,1032,1026,1032,2664.64,367.40,290.34,284.86
00164,Anesthesia for soft tissue biopsy on nose and sinus,N,F,219,254,252,254,897.00,134.26,103.43,105.42
00170,Anesthesia for procedure on mouth including biopsy,N,F,19143,34419,34249,34406,1251.99,165.75,124.91,125.46
00170,Anesthesia for procedure on mouth including biopsy,N,O,362,1020,955,1019,915.46,147.65,108.70,112.22
00172,Anesthesia for procedure on mouth to repair palate deformity,N,F,81,81,81,81,1645.69,233.87,177.46,178.48
00174,Anesthesia for procedure on throat for removal of tumor,N,F,22,23,23,23,1310.01,198.16,154.53,157.88
00176,Anesthesia for surgery on mouth,N,F,2018,2475,2467,2471,3429.93,446.25,349.71,345.10
00190,Anesthesia for procedure on facial bones or skull,N,F,8799,11986,11912,11974,1626.51,210.49,162.63,162.16
00190,Anesthesia for procedure on facial bones or skull,N,O,123,150,145,150,1181.30,152.84,118.53,117.05
00192,Anesthesia for surgery of facial bones or skull,N,F,2356,2689,2681,2687,2531.19,333.42,259.00,258.40
00192,Anesthesia for surgery of facial bones or skull,N,O,32,32,32,32,1672.63,182.56,145.17,140.22
