,description,place,charged_amount,label,label_id
3,Natriuretic peptide (heart and blood vessel protein) level,F,98.41,Very-Low,0
4,"Screening papanicolaou smear, cervical or vaginal, up to three smears, requiring interpretation by physician",F,89.22,Very-Low,0
15,"Established patient office or other outpatient visit, typically 10 minutes",F,86.87,Very-Low,0
23,"Evaluation of wearable defibrillator system including connection, disconnection, recording, physician analysis, review, and report",F,59.31,Very-Low,0
31,Tissue preparation for culture,F,38.0,Very-Low,0
39,"Physician documentation of face-to-face visit for durable medical equipment determination performed by nurse practitioner, physician assistant or clinical nurse specialist",F,45.93,Very-Low,0
52,Unclassified biologics,F,113.56,Very-Low,0
117,"X-ray of teeth, single view",F,31.12,Very-Low,0
128,Phospholipid test,F,33.0,Very-Low,0
137,Set-up portable x-ray equipment,F,33.51,Very-Low,0
157,Nuclear medicine study of salivary gland,F,99.32,Very-Low,0
160,"Complete blood cell count (red cells, white blood cell, platelets), automated test",F,33.71,Very-Low,0
163,"Imaging of brain, blood flow",F,86.16,Very-Low,0
164,"Evaluation, testing, and programming adjustment of implantable, patient activated heart recorder system including physician analysis, review, and report",F,87.5,Very-Low,0
180,Microscopic genetic examination using computer-assisted technology,F,115.42,Very-Low,0
206,"X-ray of knee, 3 views",F,41.99,Very-Low,0
208,Ultrasound of abdomen,F,117.63,Very-Low,0
236,"Diagnostic mammography, producing direct 2-d digital image, unilateral, all views",F,113.21,Very-Low,0
252,"Smoking and tobacco cessation counseling visit for the asymptomatic patient; intensive, greater than 10 minutes",F,62.43,Very-Low,0
264,"Doppler ultrasound study of color-directed heart blood flow, rate, and valve function",F,74.42,Very-Low,0
290,Physician services for outpatient heart rehabilitation with continuous EKG monitoring per session,F,73.39,Very-Low,0
298,Removal of 2 to 4 thickened skin growths,F,84.82,Very-Low,0
307,Hepatitis B core antibody measurement,F,50.74,Very-Low,0
316,"X-ray of lower leg, 2 views",F,36.13,Very-Low,0
335,"Application of skin substitute (wound surface up to 100 sq cm) to trunk, arms, or legs",F,115.58,Very-Low,0
370,X-ray of eye,F,43.97,Very-Low,0
378,Transferrin (iron binding protein) level,F,51.08,Very-Low,0
394,"Dialysis services, per day (less than full month service), patient younger than 2 years of age",F,75.01,Very-Low,0
400,Nuclear medicine study of digestive tract,F,52.66,Very-Low,0
407,Hepatitis C antibody measurement,F,61.83,Very-Low,0
429,Bone density measurement using dedicated X-ray machine,F,45.71,Very-Low,0
449,"Smoking and tobacco use intensive counseling, greater than 10 minutes",F,71.17,Very-Low,0
505,"Total protein level, body fluid",F,24.0,Very-Low,0
510,Analysis of substance using immunoassay technique,F,41.0,Very-Low,0
537,Imaging of salivary gland,F,99.68,Very-Low,0
546,Injection into skin of airborne allergen extracts for immediate reaction analysis,F,33.28,Very-Low,0
571,"Physician review, interpretation, and patient management of home inr testing for patient with either mechanical heart valve(s), chronic atrial fibrillation, or venous thromboembolism who meets medicare coverage criteria; testing not occurring more frequent",F,25.18,Very-Low,0
572,Analysis for antibody to Influenza virus,F,30.07,Very-Low,0
600,Nuclear medicine imaging of thyroid,F,93.27,Very-Low,0
608,Ultrasound of head and neck,F,117.57,Very-Low,0
634,"Blood test panel for electrolytes (sodium potassium, chloride, carbon dioxide)",F,35.86,Very-Low,0
638,Radiological supervision and interpretation X-ray of uterine tubes and ovaries,F,76.28,Very-Low,0
666,"Evaluation of antimicrobial drug (antibiotic, antifungal, antiviral)",F,24.05,Very-Low,0
683,"X-ray of foot, minimum of 3 views",F,37.78,Very-Low,0
686,Interactive complexity,F,30.11,Very-Low,0
696,X-ray of soft tissue of neck,F,35.66,Very-Low,0
724,"Screening cytopathology smears, cervical or vaginal, performed by automated system, with manual rescreening, requiring interpretation by physician",F,88.66,Very-Low,0
