description,y_pred,y_conf,y_true
"X-ray of middle and lower spine, 2 views",Very-Low,0.9967949,0
"Evaluation of parameters of single, dual, or multiple lead cardioverter-defibrillator including connection, recording, disconnection, and analysis",Low,0.48257133,0
"Established patient office or other outpatient visit, typically 5 minutes",Very-Low,0.9023776,0
Preparation and provision of 5 single stinging insect venom for allergen immunotherapy,Very-Low,0.99990034,0
Stereoscopic x-ray guidance for localization of target volume for the delivery of radiation therapy,Very-Low,0.87299156,0
Creatine kinase (cardiac enzyme) level,Very-Low,0.7415062,0
"Alcohol and/or substance (other than tobacco) abuse structured assessment (e.g., audit, dast), and brief intervention 15 to 30 minutes",Very-Low,0.9997677,0
Transferrin (iron binding protein) level,Very-Low,0.9998549,0
Bacterial blood culture,Very-Low,0.99918705,0
"Care management services for behavioral health conditions, at least 20 minutes of clinical staff time, directed by a physician or other qualified health care professional, per calendar month, with the following required elements: initial assessment or foll",Very-Low,0.9397165,0
Examination of cornea and iris using lens device and slit lamp,Very-Low,0.941268,0
"X-ray of spine, 2 or 3 views",Very-Low,0.99976605,0
Special stain for microorganism,Very-Low,0.98395663,0
Measurement of field of vision during daylight conditions,Very-Low,0.999042,0
"Chiropractic manipulative treatment, 5 spinal regions",Very-Low,0.9863775,0
Special stain for microorganism,Very-Low,0.98395663,0
Ambulatory continuous glucose (sugar) including interpretation and report for a minimum of 72 hours,Very-Low,0.983906,0
Infrared analysis of stone,Low,0.4865532,0
"Blood test, lipids (cholesterol and triglycerides)",Very-Low,0.99892956,0
Molecular pathology procedure; physician interpretation and report,Low,0.81876314,0
Testosterone (hormone) level,Very-Low,0.9862163,0
Zinc level,Very-Low,0.9491988,0
"Influenza virus vaccine, split virus, when administered to individuals 3 years of age and older, for intramuscular use (not otherwise specified)",Very-Low,0.99201584,0
Chemical treatment of acne,Low,0.99420136,0
"Imaging from nose to rectum, single view, child",Very-Low,0.974021,0
"Face-to-face educational services related to the care of chronic kidney disease; group, per session, per one hour",Very-Low,0.8525602,0
Imaging for bone age assessment,Very-Low,0.64431536,0
Immunologic analysis technique on serum,Very-Low,0.99772006,0
Screening examination of specimen cells,Very-Low,0.9649492,0
"Ventilation assistance and management, nursing facility per day",Low,0.9993981,0
Ultrasound of head and neck,Very-Low,0.8268464,0
Ferritin (blood protein) level,Very-Low,0.9984566,0
Immunologic analysis technique on serum,Very-Low,0.99772006,0
Radiological supervision and interpretation of imaging of breast duct,Low,0.84309316,0
"Medical nutrition therapy performed in a group setting, each 30 minutes",Very-Low,0.99975854,0
"X-ray of elbow, 2 views",Very-Low,0.9963947,0
Detection test for HIV-1 and HIV-2,Very-Low,0.9881356,0
Screening test for pathogenic organisms,Very-Low,0.99908066,0
Primidone level,Very-Low,0.9491988,0
"X-ray of lower and sacral spine, minimum of 4 views",Very-Low,0.99840873,0
Creatine kinase (cardiac enzyme) level,Very-Low,0.7415062,0
Physician service required to establish and document the need for a power mobility device,Very-Low,0.99602675,0
Testosterone (hormone) level,Very-Low,0.9862163,0
"X-ray of both hips with pelvis, 3-4 views",Very-Low,0.9996038,0
"Heart rhythm tracing, computer analysis, and interpretation of patient-triggered events greater than 24-hour EKG up to 30 days",Low,0.45630217,0
"X-ray of hand, minimum of 3 views",Very-Low,0.9795522,0
Bacterial culture for aerobic isolates,Very-Low,0.9988224,0
"Manual (physical) therapy techniques to 1 or more regions, each 15 minutes",Very-Low,0.9946965,0
Triglycerides level,Very-Low,0.9950689,0
Ultrasonic guidance for drainage of sac that covers the heart,Low,0.9814261,0
X-ray of voice box and/or esophagus,Very-Low,0.6867671,0
"X-ray of lower and sacral spine, 2 or 3 views",Very-Low,0.99982905,0
Physician services for outpatient heart rehabilitation with continuous EKG monitoring per session,Very-Low,0.9803556,0
"Pessary, rubber, any type",Very-Low,0.85796654,0
Fitting of contact lens for treatment of ocular surface disease,Low,0.99992,0
"X-ray of ankle, 2 views",Very-Low,0.9973314,0
Evaluation of eye adaptation to light and dark (rods and cones),Very-Low,0.9876028,0
Routine electrocardiogram (EKG) with tracing using at least 12 leads,Very-Low,0.99770373,0
Ultrasound of fetal umbilical artery flow rate,Very-Low,0.5668003,0
Cardiac output measurements,Low,0.73918605,0
Flow cytometry technique for DNA or cell analysis,Low,0.8159236,0
Immunologic analysis for detection of tumor antigen,Very-Low,0.9889264,0
Analysis for antibody Borrelia burgdorferi (Lyme disease bacteria),Very-Low,0.9896221,0
Clinical pathology consultation,Very-Low,0.7593589,0
Renin (kidney enzyme) level,Very-Low,0.63802344,0
Creatine kinase (cardiac enzyme) level,Very-Low,0.7415062,0
Coagulation assessment blood test,Very-Low,0.9946068,0
Stool analysis for blood,Very-Low,0.9901023,0
Removal of skin tags,Low,0.51863235,0
Cortisol (hormone) measurement,Very-Low,0.9904819,0
Liver function blood test panel,Very-Low,0.99145776,0
Preparation and provision of 2 single stinging insect venom for allergen immunotherapy,Very-Low,0.99987364,0
"Screening papanicolaou smear; obtaining, preparing and conveyance of cervical or vaginal smear to laboratory",Very-Low,0.9994025,0
Imaging of surgical specimen,Low,0.51315457,0
Imaging of abdomen,Very-Low,0.87114716,0
Detection of middle ear fluid with assessment of eardrum and muscle function,Very-Low,0.9171631,0
Recording to evaluate height and duration of heart beats through damaged heart tissue,Very-Low,0.97860205,0
Imaging of liver and spleen,Low,0.56087637,0
"Heart rhythm tracing, analysis, and interpretation of 48-hour EKG",Low,0.7605762,0
X-ray lower and sacral spine including bending views minimum 6 views,Very-Low,0.99988735,0
Ferritin (blood protein) level,Very-Low,0.9984566,0
Special stained specimen slides to examine tissue,Low,0.79817617,0
Coagulation assessment blood test,Very-Low,0.9946068,0
Ultrasound measurement of bladder capacity after voiding,Very-Low,0.9541379,0
Puncture aspiration of breast cyst,Low,0.9077309,0
X-ray of esophagus,Very-Low,0.7143972,0
Evaluation of specimen enzymes,Low,0.76555824,0
"Evaluation and programming adjustment of defibrillator with analysis, review and report",Low,0.7503343,0
"Pathologist examination, dissection, and preparation of tissue",Very-Low,0.99634594,0
Digoxin level,Very-Low,0.9491988,0
Liver function blood test panel,Very-Low,0.99145776,0
Glycated protein level,Very-Low,0.9986866,0
Special stained specimen slides to identify organisms including interpretation and report,Very-Low,0.985193,0
Counseling visit to discuss need for lung cancer screening using low dose ct scan (ldct) (service is for eligibility determination and shared decision making),Very-Low,0.99610376,0
Lipase (fat enzyme) level,Very-Low,0.71618074,0
Analysis using chemiluminescent technique (light and chemical )reaction,Very-Low,0.98815644,0
"X-ray of foot, 2 views",Very-Low,0.9984669,0
"Thyroid hormone, T3 measurement",Very-Low,0.9991303,0
"X-ray of spine, 4 or 5 views",Very-Low,0.99967885,0
"Medical nutrition therapy, reassessment and subsequent intervention(s) following second referral in same year for change in diagnosis, medical condition, or treatment regimen (including additional hours needed for renal disease), group (2 or more individua",Very-Low,0.9986671,0
Thyroglobulin (thyroid related hormone) level,Very-Low,0.9985104,0
Detection test for Hepatitis B surface antigen,Very-Low,0.8561158,0
Puncture aspiration of breast cyst,Low,0.9077309,0
Testosterone (hormone) level,Very-Low,0.9862163,0
Assessment and recording of abnormal eye movement while tracking moving object,Very-Low,0.98176724,0
Bilirubin level,Very-Low,0.9491988,0
Prostate cancer screening; prostate specific antigen test (psa),Very-Low,0.99684227,0
Routine electrocardiogram (EKG) using at least 12 leads with interpretation and report,Very-Low,0.99877006,0
Chromosome analysis for genetic defects,Low,0.99626225,0
"X-ray of bones of face, minimum of 3 views",Very-Low,0.9978795,0
Screening examination of specimen cells,Very-Low,0.9649492,0
"X-ray of teeth, less than full mouth",Very-Low,0.9512535,0
Diagnostic testing in a pulmonary function lab,Low,0.59872,0
"X-ray of femur, 1 view",Very-Low,0.99984646,0
"Physician re-certification for medicare-covered home health services under a home health plan of care (patient not present), including contacts with home health agency and review of reports of patient status required by physicians to affirm the initial imp",Very-Low,0.5939785,0
Stool culture,Very-Low,0.9965444,0
"X-ray of upper spine, 6 or more views",Very-Low,0.99907386,0
X-ray of bones,Very-Low,0.899988,0
"Therapeutic activities to improve function, with one-on-one contact between patient and provider, each 15 minutes",Very-Low,0.99983156,0
"Strep test (Streptococcus, group A)",Very-Low,0.9983392,0
"Psychotherapy, 30 minutes with patient and/or family member",Low,0.9694578,0
Hemoglobin analysis and measurement,Very-Low,0.99892515,0
Diagnostic imaging of optic nerve of eye,Very-Low,0.8602346,0
Nuclear medicine study of tear drainage structure of eye,Low,0.56001836,0
