description,y_pred,y_conf,y_true
"X-ray of middle and lower spine, 2 views",Very-Low,0.9967949,Very-Low
"Evaluation of parameters of single, dual, or multiple lead cardioverter-defibrillator including connection, recording, disconnection, and analysis",Low,0.48257133,Very-Low
"Established patient office or other outpatient visit, typically 5 minutes",Very-Low,0.9023776,Very-Low
Preparation and provision of 5 single stinging insect venom for allergen immunotherapy,Very-Low,0.99990034,Very-Low
Stereoscopic x-ray guidance for localization of target volume for the delivery of radiation therapy,Very-Low,0.87299156,Very-Low
Creatine kinase (cardiac enzyme) level,Very-Low,0.7415062,Very-Low
"Alcohol and/or substance (other than tobacco) abuse structured assessment (e.g., audit, dast), and brief intervention 15 to 30 minutes",Very-Low,0.9997677,Very-Low
Transferrin (iron binding protein) level,Very-Low,0.9998549,Very-Low
Bacterial blood culture,Very-Low,0.99918705,Very-Low
"Care management services for behavioral health conditions, at least 20 minutes of clinical staff time, directed by a physician or other qualified health care professional, per calendar month, with the following required elements: initial assessment or foll",Very-Low,0.9397165,Very-Low
Examination of cornea and iris using lens device and slit lamp,Very-Low,0.941268,Very-Low
"X-ray of spine, 2 or 3 views",Very-Low,0.99976605,Very-Low
Special stain for microorganism,Very-Low,0.98395663,Very-Low
Measurement of field of vision during daylight conditions,Very-Low,0.999042,Very-Low
"Chiropractic manipulative treatment, 5 spinal regions",Very-Low,0.9863775,Very-Low
Special stain for microorganism,Very-Low,0.98395663,Very-Low
Ambulatory continuous glucose (sugar) including interpretation and report for a minimum of 72 hours,Very-Low,0.983906,Very-Low
Infrared analysis of stone,Low,0.4865532,Very-Low
"Blood test, lipids (cholesterol and triglycerides)",Very-Low,0.99892956,Very-Low
Molecular pathology procedure; physician interpretation and report,Low,0.81876314,Very-Low
Testosterone (hormone) level,Very-Low,0.9862163,Very-Low
Zinc level,Very-Low,0.9491988,Very-Low
"Influenza virus vaccine, split virus, when administered to individuals 3 years of age and older, for intramuscular use (not otherwise specified)",Very-Low,0.99201584,Very-Low
Chemical treatment of acne,Low,0.99420136,Very-Low
"Imaging from nose to rectum, single view, child",Very-Low,0.974021,Very-Low
"Face-to-face educational services related to the care of chronic kidney disease; group, per session, per one hour",Very-Low,0.8525602,Very-Low
Imaging for bone age assessment,Very-Low,0.64431536,Very-Low
Immunologic analysis technique on serum,Very-Low,0.99772006,Very-Low
Screening examination of specimen cells,Very-Low,0.9649492,Very-Low
"Ventilation assistance and management, nursing facility per day",Low,0.9993981,Very-Low
Ultrasound of head and neck,Very-Low,0.8268464,Very-Low
Ferritin (blood protein) level,Very-Low,0.9984566,Very-Low
Immunologic analysis technique on serum,Very-Low,0.99772006,Very-Low
Radiological supervision and interpretation of imaging of breast duct,Low,0.84309316,Very-Low
"Medical nutrition therapy performed in a group setting, each 30 minutes",Very-Low,0.99975854,Very-Low
"X-ray of elbow, 2 views",Very-Low,0.9963947,Very-Low
Detection test for HIV-1 and HIV-2,Very-Low,0.9881356,Very-Low
Screening test for pathogenic organisms,Very-Low,0.99908066,Very-Low
Primidone level,Very-Low,0.9491988,Very-Low
"X-ray of lower and sacral spine, minimum of 4 views",Very-Low,0.99840873,Very-Low
Creatine kinase (cardiac enzyme) level,Very-Low,0.7415062,Very-Low
Physician service required to establish and document the need for a power mobility device,Very-Low,0.99602675,Very-Low
Testosterone (hormone) level,Very-Low,0.9862163,Very-Low
"X-ray of both hips with pelvis, 3-4 views",Very-Low,0.9996038,Very-Low
"Heart rhythm tracing, computer analysis, and interpretation of patient-triggered events greater than 24-hour EKG up to 30 days",Low,0.45630217,Very-Low
"X-ray of hand, minimum of 3 views",Very-Low,0.9795522,Very-Low
Bacterial culture for aerobic isolates,Very-Low,0.9988224,Very-Low
"Manual (physical) therapy techniques to 1 or more regions, each 15 minutes",Very-Low,0.9946965,Very-Low
Triglycerides level,Very-Low,0.9950689,Very-Low
Ultrasonic guidance for drainage of sac that covers the heart,Low,0.9814261,Very-Low
X-ray of voice box and/or esophagus,Very-Low,0.6867671,Very-Low
"X-ray of lower and sacral spine, 2 or 3 views",Very-Low,0.99982905,Very-Low
Physician services for outpatient heart rehabilitation with continuous EKG monitoring per session,Very-Low,0.9803556,Very-Low
"Pessary, rubber, any type",Very-Low,0.85796654,Very-Low
Fitting of contact lens for treatment of ocular surface disease,Low,0.99992,Very-Low
"X-ray of ankle, 2 views",Very-Low,0.9973314,Very-Low
Evaluation of eye adaptation to light and dark (rods and cones),Very-Low,0.9876028,Very-Low
Routine electrocardiogram (EKG) with tracing using at least 12 leads,Very-Low,0.99770373,Very-Low
Ultrasound of fetal umbilical artery flow rate,Very-Low,0.5668003,Very-Low
Cardiac output measurements,Low,0.73918605,Very-Low
Flow cytometry technique for DNA or cell analysis,Low,0.8159236,Very-Low
Immunologic analysis for detection of tumor antigen,Very-Low,0.9889264,Very-Low
Analysis for antibody Borrelia burgdorferi (Lyme disease bacteria),Very-Low,0.9896221,Very-Low
Clinical pathology consultation,Very-Low,0.7593589,Very-Low
Renin (kidney enzyme) level,Very-Low,0.63802344,Very-Low
Creatine kinase (cardiac enzyme) level,Very-Low,0.7415062,Very-Low
Coagulation assessment blood test,Very-Low,0.9946068,Very-Low
Stool analysis for blood,Very-Low,0.9901023,Very-Low
Removal of skin tags,Low,0.51863235,Very-Low
Cortisol (hormone) measurement,Very-Low,0.9904819,Very-Low
Liver function blood test panel,Very-Low,0.99145776,Very-Low
Preparation and provision of 2 single stinging insect venom for allergen immunotherapy,Very-Low,0.99987364,Very-Low
"Screening papanicolaou smear; obtaining, preparing and conveyance of cervical or vaginal smear to laboratory",Very-Low,0.9994025,Very-Low
Imaging of surgical specimen,Low,0.51315457,Very-Low
Imaging of abdomen,Very-Low,0.87114716,Very-Low
Detection of middle ear fluid with assessment of eardrum and muscle function,Very-Low,0.9171631,Very-Low
Recording to evaluate height and duration of heart beats through damaged heart tissue,Very-Low,0.97860205,Very-Low
Imaging of liver and spleen,Low,0.56087637,Very-Low
"Heart rhythm tracing, analysis, and interpretation of 48-hour EKG",Low,0.7605762,Very-Low
X-ray lower and sacral spine including bending views minimum 6 views,Very-Low,0.99988735,Very-Low
Ferritin (blood protein) level,Very-Low,0.9984566,Very-Low
Special stained specimen slides to examine tissue,Low,0.79817617,Very-Low
Coagulation assessment blood test,Very-Low,0.9946068,Very-Low
Ultrasound measurement of bladder capacity after voiding,Very-Low,0.9541379,Very-Low
Puncture aspiration of breast cyst,Low,0.9077309,Very-Low
X-ray of esophagus,Very-Low,0.7143972,Very-Low
Evaluation of specimen enzymes,Low,0.76555824,Very-Low
"Evaluation and programming adjustment of defibrillator with analysis, review and report",Low,0.7503343,Very-Low
"Pathologist examination, dissection, and preparation of tissue",Very-Low,0.99634594,Very-Low
Digoxin level,Very-Low,0.9491988,Very-Low
Liver function blood test panel,Very-Low,0.99145776,Very-Low
Glycated protein level,Very-Low,0.9986866,Very-Low
Special stained specimen slides to identify organisms including interpretation and report,Very-Low,0.985193,Very-Low
Counseling visit to discuss need for lung cancer screening using low dose ct scan (ldct) (service is for eligibility determination and shared decision making),Very-Low,0.99610376,Very-Low
Lipase (fat enzyme) level,Very-Low,0.71618074,Very-Low
Analysis using chemiluminescent technique (light and chemical )reaction,Very-Low,0.98815644,Very-Low
"X-ray of foot, 2 views",Very-Low,0.9984669,Very-Low
"Thyroid hormone, T3 measurement",Very-Low,0.9991303,Very-Low
"X-ray of spine, 4 or 5 views",Very-Low,0.99967885,Very-Low
"Medical nutrition therapy, reassessment and subsequent intervention(s) following second referral in same year for change in diagnosis, medical condition, or treatment regimen (including additional hours needed for renal disease), group (2 or more individua",Very-Low,0.9986671,Very-Low
Thyroglobulin (thyroid related hormone) level,Very-Low,0.9985104,Very-Low
Detection test for Hepatitis B surface antigen,Very-Low,0.8561158,Very-Low
Puncture aspiration of breast cyst,Low,0.9077309,Very-Low
Testosterone (hormone) level,Very-Low,0.9862163,Very-Low
Assessment and recording of abnormal eye movement while tracking moving object,Very-Low,0.98176724,Very-Low
Bilirubin level,Very-Low,0.9491988,Very-Low
Prostate cancer screening; prostate specific antigen test (psa),Very-Low,0.99684227,Very-Low
Routine electrocardiogram (EKG) using at least 12 leads with interpretation and report,Very-Low,0.99877006,Very-Low
Chromosome analysis for genetic defects,Low,0.99626225,Very-Low
"X-ray of bones of face, minimum of 3 views",Very-Low,0.9978795,Very-Low
Screening examination of specimen cells,Very-Low,0.9649492,Very-Low
"X-ray of teeth, less than full mouth",Very-Low,0.9512535,Very-Low
Diagnostic testing in a pulmonary function lab,Low,0.59872,Very-Low
"X-ray of femur, 1 view",Very-Low,0.99984646,Very-Low
"Physician re-certification for medicare-covered home health services under a home health plan of care (patient not present), including contacts with home health agency and review of reports of patient status required by physicians to affirm the initial imp",Very-Low,0.5939785,Very-Low
Stool culture,Very-Low,0.9965444,Very-Low
"X-ray of upper spine, 6 or more views",Very-Low,0.99907386,Very-Low
X-ray of bones,Very-Low,0.899988,Very-Low
"Therapeutic activities to improve function, with one-on-one contact between patient and provider, each 15 minutes",Very-Low,0.99983156,Very-Low
"Strep test (Streptococcus, group A)",Very-Low,0.9983392,Very-Low
"Psychotherapy, 30 minutes with patient and/or family member",Low,0.9694578,Very-Low
Hemoglobin analysis and measurement,Very-Low,0.99892515,Very-Low
Diagnostic imaging of optic nerve of eye,Very-Low,0.8602346,Very-Low
Nuclear medicine study of tear drainage structure of eye,Low,0.56001836,Very-Low
Screening test for antibody to noninfectious agent,Very-Low,0.9923131,Very-Low
Quantitation of therapeutic drug,Very-Low,0.67862874,Very-Low
Measurement of eye muscles to detect deviation of eyeball,Very-Low,0.99735403,Very-Low
Measurement of heart blood flow and respiration,Very-Low,0.91802895,Very-Low
Urea nitrogen level to assess kidney function,Very-Low,0.99086624,Very-Low
Collection and analysis of exhaled air and carbon dioxide for evaluation of lung function,Very-Low,0.9990362,Very-Low
Phenytoin level,Very-Low,0.9491988,Very-Low
X-ray of esophagus,Very-Low,0.7143972,Very-Low
"Annual depression screening, 15 minutes",Very-Low,0.99221003,Very-Low
"X-ray of chest, 2 views, front and side",Very-Low,0.9993868,Very-Low
Cardiac output measurements,Low,0.73918605,Very-Low
Therapeutic procedures in a group setting,Very-Low,0.9885761,Very-Low
3D radiographic procedure,Very-Low,0.5261752,Very-Low
Timed assessment of bladder emptying,Very-Low,0.7067691,Very-Low
"Inpatient telehealth pharmacologic management, including prescription, use, and review of medication with no more than minimal medical psychotherapy",Low,0.99945515,Very-Low
"X-ray of upper spine, 4 or 5 views",Very-Low,0.9994344,Very-Low
